+---------------+-----------+--------------------+--------------------+
|  Priorities   | Baseline1 |     Baseline2      |   Test Scenario    |
|                               SERVER-WEBAPP ExAir access [Priority: 2]                                |     5     |      5 (0.0%)       |     0 (-100.0%)     |
| SERVER-WEBAPP F5 BIG-IP Traffic Management User Interface remote code execution attempt [Priority: 1] |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-WEBAPP Faq-O-Matic fom.cgi access [Priority: 2]                         |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|      SERVER-WEBAPP Fortinet FortiOS SSL VPN web portal directory traversal attempt [Priority: 1]      |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP ICQ Webfront HTTP DOS [Priority: 1]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                SERVER-WEBAPP IGeneric Free Shopping Cart page.php access [Priority: 2]                |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|       SERVER-WEBAPP IOServer OPC Server directory traversal exploitation attempt [Priority: 1]        |    44     |     46 (+4.55%)     |     0 (-100.0%)     |
|                     SERVER-WEBAPP Interactive Story story.pl access [Priority: 2]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-WEBAPP InteractiveQuery.jsp access [Priority: 2]                        |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                     SERVER-WEBAPP JBoss JMX console access attempt [Priority: 2]                      |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                     SERVER-WEBAPP JBoss web console access attempt [Priority: 2]                      |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|          SERVER-WEBAPP Joomla com_contenthistory module SQL injection attempt [Priority: 1]           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                     SERVER-WEBAPP Linksys BEFSR41 gozila.cgi access [Priority: 2]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|           SERVER-WEBAPP MVPower DVR Shell arbitrary command execution attempt [Priority: 1]           |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP MachineInfo access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|            SERVER-WEBAPP Macromedia SiteSpring cross site scripting attempt [Priority: 1]             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-WEBAPP Mambo upload.php access [Priority: 2]                          |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                       SERVER-WEBAPP Mambo uploadimage.php access [Priority: 2]                        |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|              SERVER-WEBAPP Multiple Products invalid HTTP request attempt [Priority: 2]               |    493    |     493 (0.0%)      |     0 (-100.0%)     |
|              SERVER-WEBAPP Multiple Vendor server file disclosure attempt [Priority: 1]               |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|            SERVER-WEBAPP NeoFrag CMS database information disclosure attempt [Priority: 2]            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                 SERVER-WEBAPP Netscape Enterprise Server directory view [Priority: 2]                 |     1     |      1 (0.0%)       |      1 (0.0%)       |
|                      SERVER-WEBAPP Netscape PublishingXpert access [Priority: 2]                      |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP Netscape admin passwd [Priority: 1]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP Netscape dir index wp [Priority: 2]                           |     1     |      1 (0.0%)       |      1 (0.0%)       |
|                      SERVER-WEBAPP Nortel Contivity cgiproc access [Priority: 2]                      |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|  SERVER-WEBAPP Novell GroupWise Internet Agent content-length integer overflow attempt [Priority: 1]  |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                     SERVER-WEBAPP Novell Groupwise gwweb.exe access [Priority: 2]                     |     0     |       0 (0%)        |      2 (+200%)      |
|                    SERVER-WEBAPP Novell Groupwise gwweb.exe attempt [Priority: 2]                     |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|      SERVER-WEBAPP Novell Zenworks Mobile Management cross site scripting attempt [Priority: 1]       |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|   SERVER-WEBAPP Oracle 9i Application Server OWA_UTIL information disclosure attempt [Priority: 1]    |     7     |     6 (-14.29%)     |     0 (-100.0%)     |
|      SERVER-WEBAPP Oracle Application Server 9i unauthenticated dms access attempt [Priority: 2]      |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-WEBAPP Oracle Cobalt RaQ service.cgi access [Priority: 2]                    |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|               SERVER-WEBAPP Oracle Dynamic Monitoring Services dms access [Priority: 2]               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                    SERVER-WEBAPP Oracle Java Process Manager access [Priority: 2]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                       SERVER-WEBAPP Oracle XSQLConfig.xml access [Priority: 2]                        |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|           SERVER-WEBAPP PHP includedir parameter remote file include attempt [Priority: 1]            |    18     |      18 (0.0%)      |     0 (-100.0%)     |
|                 SERVER-WEBAPP PHP phpinfo cross site scripting attempt [Priority: 1]                  |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                     SERVER-WEBAPP PHP-CGI command injection attempt [Priority: 1]                     |     3     |      3 (0.0%)       |     1 (-66.67%)     |
|                   SERVER-WEBAPP PHP-Wiki cross site scripting attempt [Priority: 1]                   |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                       SERVER-WEBAPP PHPLIB remote command attempt [Priority: 1]                       |     0     |       0 (0%)        |      3 (+300%)      |
|                     SERVER-WEBAPP Phorum /support/common.php access [Priority: 1]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP Phorum admin access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP Progress webspeed access [Priority: 1]                          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|             SERVER-WEBAPP Pulse Secure SSL VPN arbitrary file read attempt [Priority: 1]              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|             SERVER-WEBAPP Pulse Secure SSL VPN directory traversal attempt [Priority: 1]              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|               SERVER-WEBAPP RBS ISP /newuser  directory traversal attempt [Priority: 1]               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-WEBAPP RBS ISP /newuser access [Priority: 2]                          |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                  SERVER-WEBAPP Ruby on Rails command injection attempt [Priority: 1]                  |     5     |      5 (0.0%)       |     0 (-100.0%)     |
|                 SERVER-WEBAPP SAP servlet authentication bypass attempt [Priority: 1]                 |    45     |      45 (0.0%)      |     0 (-100.0%)     |
|                         SERVER-WEBAPP SalesLogix Eviewer access [Priority: 2]                         |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP ServletManager access [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP Setup.php access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|      SERVER-WEBAPP Sourceforge Gallery search engine cross-site scripting attempt [Priority: 1]       |     5     |      5 (0.0%)       |     0 (-100.0%)     |
|  SERVER-WEBAPP Symantec Antivirus admin scan interface negative Content-Length attempt [Priority: 1]  |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|     SERVER-WEBAPP TikiWiki tiki-graph_formula.php remote php code execution attempt [Priority: 1]     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                SERVER-WEBAPP TrackerCam negative Content-Length attempt [Priority: 1]                 |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|           SERVER-WEBAPP Trend Micro Interscan VirusWall setpasswd.cgi access [Priority: 2]            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                       SERVER-WEBAPP Trend Micro OfficeScan access [Priority: 2]                       |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP VirusWall FtpSave access [Priority: 2]                          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP VirusWall catinfo access [Priority: 2]                          |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP WEB-INF access [Priority: 2]                               |     5     |      5 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-WEBAPP a1stats a1disp3.cgi access [Priority: 2]                         |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|              SERVER-WEBAPP a1stats a1disp3.cgi directory traversal attempt [Priority: 1]              |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP active.log access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP admin.php access [Priority: 2]                              |    26     |      26 (0.0%)      |     0 (-100.0%)     |
|                              SERVER-WEBAPP admin.pl access [Priority: 2]                              |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP adminlogin access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-WEBAPP ans.pl access [Priority: 2]                               |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP ans.pl attempt [Priority: 1]                               |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                       SERVER-WEBAPP apache source.asp file access [Priority: 2]                       |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP architext_query.pl access [Priority: 2]                         |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP args.bat access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP autohtml.php access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP awstats access [Priority: 2]                               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                       SERVER-WEBAPP b2 cafelog gm-2-b2.php access [Priority: 2]                       |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-WEBAPP backup access [Priority: 2]                               |     7     |      7 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-WEBAPP basilix mysql.class access [Priority: 2]                         |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-WEBAPP basilix sendmail.inc access [Priority: 2]                        |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP bb_smilies.php access [Priority: 2]                           |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP bigconf.cgi access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP calendar access [Priority: 2]                              |    23     |      23 (0.0%)      |     0 (-100.0%)     |
|                            SERVER-WEBAPP calendar.php access [Priority: 2]                            |     9     |      9 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP calendar.pl access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP calendar_admin.pl access [Priority: 2]                          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|           SERVER-WEBAPP calendar_admin.pl arbitrary command execution attempt [Priority: 1]           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-WEBAPP cart 32 AdminPwd access [Priority: 2]                          |     1     |     0 (-100.0%)     |     0 (-100.0%)     |
|                                SERVER-WEBAPP cat_ access [Priority: 2]                                |    19     |      19 (0.0%)      |     0 (-100.0%)     |
|                             SERVER-WEBAPP catgy.cgi access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP caucho-status access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-WEBAPP cgicso access [Priority: 2]                               |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP cgimail access [Priority: 2]                               |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP cgitest.exe access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-WEBAPP classifieds.cgi access [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP convert.bas access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP cpshost.dll access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|       SERVER-WEBAPP cross site scripting HTML Image tag set to javascript attempt [Priority: 1]       |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP csChatRBox setup attempt [Priority: 2]                          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-WEBAPP csLiveSupport setup attempt [Priority: 2]                        |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP csPassword.cgi access [Priority: 2]                           |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-WEBAPP csSearch setup attempt [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP cvslog.cgi access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-WEBAPP db4web_c directory traversal attempt [Priority: 1]                    |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP dcforum.cgi access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP directory.php access [Priority: 2]                            |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP document.d2w access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP eXtropia webstore access [Priority: 2]                          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP emumail.cgi access [Priority: 2]                             |     5     |      5 (0.0%)       |     0 (-100.0%)     |
|   SERVER-WEBAPP encoded cross site scripting HTML Image tag set to javascript attempt [Priority: 1]   |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP envout.bat access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP faxsurvey access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP files.pl access [Priority: 2]                              |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-WEBAPP finger access [Priority: 2]                               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP gbook.cgi access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|            SERVER-WEBAPP generic SQL select statement possible sql injection [Priority: 1]            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|               SERVER-WEBAPP generic cross site scripting via url attempt [Priority: 2]                |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP glimpse access [Priority: 2]                               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP global.inc access [Priority: 1]                             |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP globals.jsa access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP globals.pl access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP handler access [Priority: 2]                               |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP httpd.conf access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                     SERVER-WEBAPP iChat directory traversal attempt [Priority: 2]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP iPlanet .perf access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                SERVER-WEBAPP iPlanet Search directory traversal attempt [Priority: 1]                 |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP intranet access [Priority: 2]                              |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                       SERVER-WEBAPP jrun directory browse attempt [Priority: 1]                       |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP listrec.pl access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP loadpage.cgi access [Priority: 2]                            |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP logicworks.ini access [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP login.htm access [Priority: 2]                              |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP mall log order access [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-WEBAPP ministats admin access [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP mlog.phtml access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                      SERVER-WEBAPP mod-plsql administration access [Priority: 2]                      |     8     |      8 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-WEBAPP mod_gzip_status access [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP modules.php access [Priority: 2]                             |    36     |      36 (0.0%)      |     0 (-100.0%)     |
|            SERVER-WEBAPP mxBB MX Faq module_root_path file inclusion attempt [Priority: 1]            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                      SERVER-WEBAPP myPHPNuke chatheader.php access [Priority: 2]                      |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                       SERVER-WEBAPP myPHPNuke partner.php access [Priority: 2]                        |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP mylog.phtml access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-WEBAPP nobody access [Priority: 1]                               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP oracle portal demo access [Priority: 2]                         |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-WEBAPP oracle web application server access [Priority: 2]                    |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|              SERVER-WEBAPP oracle web arbitrary command execution attempt [Priority: 1]               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP p-news.php access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP parse_xml.cgi access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                      SERVER-WEBAPP password sent via URL parameter [Priority: 1]                      |    11     |      11 (0.0%)      |     0 (-100.0%)     |
|                                SERVER-WEBAPP phf access [Priority: 2]                                 |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-WEBAPP philboard_admin.asp access [Priority: 2]                         |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP php.exe access [Priority: 2]                               |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|               SERVER-WEBAPP phpMyAdmin db_details_importdocsql.php access [Priority: 1]               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-WEBAPP piranha passwd.php3 access [Priority: 2]                         |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP printenv access [Priority: 2]                              |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                       SERVER-WEBAPP read_body.php access attempt [Priority: 2]                        |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP readmsg.php access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP redirect access [Priority: 2]                              |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-WEBAPP remote include path attempt [Priority: 1]                        |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-WEBAPP rolis guestbook access [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                                SERVER-WEBAPP root access [Priority: 2]                                |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP search.cgi access [Priority: 2]                             |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP search.dll access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP search.vts access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP server-info access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP server-status access [Priority: 2]                            |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP shopping cart access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP shoutbox.php access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-WEBAPP smartsearch.cgi access [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP smssend.php access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP source.jsp access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-WEBAPP stronghold-info access [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP stronghold-status access [Priority: 2]                          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP test.cgi access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP test.php access [Priority: 2]                              |    16     |      16 (0.0%)      |     0 (-100.0%)     |
|                  SERVER-WEBAPP triple dot directory traversal attempt [Priority: 1]                   |    13     |      13 (0.0%)      |     0 (-100.0%)     |
|                            SERVER-WEBAPP tstisapi.dll access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-WEBAPP ttCMS header.php access [Priority: 2]                          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                      SERVER-WEBAPP unify eWave ServletExec upload [Priority: 1]                       |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP upload.cgi access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                       SERVER-WEBAPP user_update_passwd.pl access [Priority: 2]                        |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP view_source access [Priority: 2]                             |     1     |     0 (-100.0%)     |     0 (-100.0%)     |
|                             SERVER-WEBAPP w3tvars.pm access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP way-board access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP way-board.cgi access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP webadmin.dll access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP webalizer access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP webcart access [Priority: 2]                               |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP webcart-lite access [Priority: 2]                            |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP webdist.cgi access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP webhits.exe access [Priority: 2]                             |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                 SERVER-WEBAPP weblogic/tomcat .jsp view source attempt [Priority: 1]                  |    94     |      94 (0.0%)      |     0 (-100.0%)     |
|                          SERVER-WEBAPP win-c-sample.exe access [Priority: 2]                          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                                SERVER-WEBAPP wrap access [Priority: 2]                                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP ws_ftp.ini access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP www-sql access [Priority: 2]                               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP wwwboard.pl access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                                SERVER-WEBAPP yabb access [Priority: 2]                                |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                                 SQL counter.exe access [Priority: 2]                                  |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|             SQL generic sql with comments injection attempt - GET parameter [Priority: 1]             |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                                 SQL queryhit.htm access [Priority: 2]                                 |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|            SQL union select - possible sql injection attempt - GET parameter [Priority: 2]            |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|              SQL use of concat function with select - likely SQL injection [Priority: 1]              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
+-------------------------------------------------------------------------------------------------------+-----------+---------------------+---------------------+
