+---------------+-------+
|   Priority    | Count |
|                           SERVER-IIS codebrowser Exair access [Priority: 2]                           |   1   |
|      SERVER-WEBAPP Fortinet FortiOS SSL VPN web portal directory traversal attempt [Priority: 1]      |   1   |
|             SERVER-WEBAPP Pulse Secure SSL VPN directory traversal attempt [Priority: 1]              |   1   |
|             SERVER-WEBAPP Pulse Secure SSL VPN arbitrary file read attempt [Priority: 1]              |   1   |
|          SERVER-WEBAPP Citrix ADC and Gateway arbitrary code execution attempt [Priority: 1]          |   1   |
|                              SERVER-WEBAPP test.cgi access [Priority: 2]                              |   1   |
|                SERVER-WEBAPP 3R Soft MailStudio 2000 mailview.cgi access [Priority: 2]                |   1   |
|                        SERVER-WEBAPP remote include path attempt [Priority: 1]                        |   1   |
|                   SERVER-OTHER Microsoft Frontpage service.cnf access [Priority: 2]                   |   1   |
|                  SERVER-OTHER Microsoft Frontpage services.cnf access [Priority: 2]                   |   1   |
|                   SERVER-OTHER Microsoft Frontpage writeto.cnf access [Priority: 2]                   |   1   |
|                          SERVER-IIS site server config access [Priority: 2]                           |   1   |
|                                SERVER-IIS jet vba access [Priority: 2]                                |   1   |
|                             SERVER-WEBAPP webalizer access [Priority: 2]                              |   1   |
|                                 SQL queryhit.htm access [Priority: 2]                                 |   1   |
|                                 SQL counter.exe access [Priority: 2]                                  |   1   |
|  SERVER-WEBAPP Symantec Antivirus admin scan interface negative Content-Length attempt [Priority: 1]  |   1   |
|  SERVER-WEBAPP Novell GroupWise Internet Agent content-length integer overflow attempt [Priority: 1]  |   1   |
|                SERVER-WEBAPP TrackerCam negative Content-Length attempt [Priority: 1]                 |   1   |
|                         SERVER-WEBAPP /fcgi-bin/echo.exe access [Priority: 2]                         |   1   |
|                             SERVER-IIS postinfo.asp access [Priority: 2]                              |   1   |
|                            SERVER-WEBAPP webhits.exe access [Priority: 2]                             |   1   |
|                            SERVER-WEBAPP convert.bas access [Priority: 2]                             |   1   |
|                           SERVER-WEBAPP parse_xml.cgi access [Priority: 2]                            |   1   |
|           SERVER-WEBAPP Trend Micro Interscan VirusWall setpasswd.cgi access [Priority: 2]            |   1   |
|                             SERVER-WEBAPP source.jsp access [Priority: 2]                             |   1   |
|                            SERVER-WEBAPP /CVS/Entries access [Priority: 2]                            |   1   |
|               SERVER-WEBAPP phpMyAdmin db_details_importdocsql.php access [Priority: 1]               |   1   |
|                           SERVER-WEBAPP ICQ Webfront HTTP DOS [Priority: 1]                           |   1   |
|                              SERVER-WEBAPP glimpse access [Priority: 2]                               |   1   |
|                          SERVER-WEBAPP ministats admin access [Priority: 2]                           |   1   |
|                       SERVER-WEBAPP Trend Micro OfficeScan access [Priority: 2]                       |   1   |
|                           SERVER-WEBAPP iPlanet .perf access [Priority: 2]                            |   1   |
|                           SERVER-WEBAPP Netscape admin passwd [Priority: 1]                           |   1   |
|                           SERVER-WEBAPP /doc/packages access [Priority: 2]                            |   1   |
|                        SERVER-WEBAPP Ecommerce checks.txt access [Priority: 2]                        |   1   |
|                      (http_inspect) white space within header name [Priority: 3]                      |   1   |
|                        SERVER-WEBAPP piranha passwd.php3 access [Priority: 2]                         |   1   |
|                SERVER-OTHER Adobe Coldfusion cfmlsyntaxcheck.cfm access [Priority: 2]                 |   1   |
|                            SERVER-WEBAPP webadmin.dll access [Priority: 2]                            |   1   |
|                            SERVER-WEBAPP cgitest.exe access [Priority: 2]                             |   1   |
|                    SERVER-OTHER Adobe Coldfusion displayfile access [Priority: 1]                     |   1   |
|                    SERVER-OTHER Adobe Coldfusion sendmail.cfm access [Priority: 2]                    |   1   |
|                            SERVER-IIS ISAPI .printer access [Priority: 2]                             |   1   |
|                              SERVER-IIS adctest.asp access [Priority: 2]                              |   1   |
|                             SERVER-WEBAPP /home/www access [Priority: 2]                              |   1   |
|                   SERVER-OTHER Adobe Coldfusion administrator access [Priority: 2]                    |   1   |
|                        SERVER-WEBAPP InteractiveQuery.jsp access [Priority: 2]                        |   1   |
|                             SERVER-IIS sgdynamo.exe access [Priority: 2]                              |   1   |
|                             SERVER-WEBAPP catgy.cgi access [Priority: 2]                              |   1   |
|                   SERVER-OTHER Adobe Coldfusion fileexists.cfm access [Priority: 2]                   |   1   |
|                            SERVER-WEBAPP MachineInfo access [Priority: 2]                             |   1   |
|                  SERVER-OTHER Microsoft Frontpage form_results access [Priority: 2]                   |   1   |
|                           SERVER-WEBAPP caucho-status access [Priority: 2]                            |   1   |
|                             SERVER-WEBAPP upload.cgi access [Priority: 2]                             |   1   |
|                           SERVER-WEBAPP ?PageServices access [Priority: 2]                            |   1   |
|                 SERVER-WEBAPP Netscape Enterprise Server directory view [Priority: 2]                 |   1   |
|                           SERVER-WEBAPP Netscape dir index wp [Priority: 2]                           |   1   |
|                      SERVER-WEBAPP BLNews objects.inc.php4 access [Priority: 2]                       |   1   |
|                          SERVER-WEBAPP ttCMS header.php access [Priority: 2]                          |   1   |
|                           SERVER-WEBAPP .bash_history access [Priority: 1]                            |   1   |
|                              SERVER-WEBAPP .history access [Priority: 1]                              |   1   |
+-------------------------------------------------------------------------------------------------------+-------+
