12/09/2021-16:01:39.950452  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0002:0000:0000:0000:0000:0000:0020:135 -> ff02:0000:0000:0000:0000:0001:ff00:0001:0
12/09/2021-16:03:12.071273  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50670 -> 10.0.2.20:80
12/09/2021-16:03:30.091274  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50688 -> 10.0.2.20:80
12/09/2021-16:03:30.091274  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50688 -> 10.0.2.20:80
12/09/2021-16:03:22.082893  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50680 -> 10.0.2.20:80
12/09/2021-16:03:22.082893  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50680 -> 10.0.2.20:80
12/09/2021-16:03:40.102728  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50698 -> 10.0.2.20:80
12/09/2021-16:03:40.102728  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50698 -> 10.0.2.20:80
12/09/2021-16:03:38.100110  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50696 -> 10.0.2.20:80
12/09/2021-16:03:38.100110  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50696 -> 10.0.2.20:80
12/09/2021-16:03:24.084595  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50682 -> 10.0.2.20:80
12/09/2021-16:03:24.084595  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50682 -> 10.0.2.20:80
12/09/2021-16:03:50.116605  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50708 -> 10.0.2.20:80
12/09/2021-16:03:50.116605  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50708 -> 10.0.2.20:80
12/09/2021-16:03:16.076188  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50674 -> 10.0.2.20:80
12/09/2021-16:03:16.076188  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50674 -> 10.0.2.20:80
12/09/2021-16:03:52.120015  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50710 -> 10.0.2.20:80
12/09/2021-16:03:52.120015  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50710 -> 10.0.2.20:80
12/09/2021-16:03:54.122644  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50712 -> 10.0.2.20:80
12/09/2021-16:03:54.122644  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50712 -> 10.0.2.20:80
12/09/2021-16:03:26.086849  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50684 -> 10.0.2.20:80
12/09/2021-16:03:26.086849  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50684 -> 10.0.2.20:80
12/09/2021-16:03:44.106793  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50702 -> 10.0.2.20:80
12/09/2021-16:03:44.106793  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50702 -> 10.0.2.20:80
12/09/2021-16:04:00.130622  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50718 -> 10.0.2.20:80
12/09/2021-16:04:00.130622  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50718 -> 10.0.2.20:80
12/09/2021-16:03:46.110255  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50704 -> 10.0.2.20:80
12/09/2021-16:03:46.110255  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50704 -> 10.0.2.20:80
12/09/2021-16:03:48.113354  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50706 -> 10.0.2.20:80
12/09/2021-16:03:48.113354  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50706 -> 10.0.2.20:80
12/09/2021-16:04:16.155329  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50736 -> 10.0.2.20:80
12/09/2021-16:04:16.155329  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50736 -> 10.0.2.20:80
12/09/2021-16:03:56.124849  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50714 -> 10.0.2.20:80
12/09/2021-16:03:56.124849  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50714 -> 10.0.2.20:80
12/09/2021-16:04:06.139808  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50726 -> 10.0.2.20:80
12/09/2021-16:04:06.139808  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50726 -> 10.0.2.20:80
12/09/2021-16:03:58.127258  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50716 -> 10.0.2.20:80
12/09/2021-16:03:58.127258  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50716 -> 10.0.2.20:80
12/09/2021-16:04:22.164415  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50742 -> 10.0.2.20:80
12/09/2021-16:04:22.164415  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50742 -> 10.0.2.20:80
12/09/2021-16:04:08.143133  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50728 -> 10.0.2.20:80
12/09/2021-16:04:08.143133  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50728 -> 10.0.2.20:80
12/09/2021-16:04:02.133428  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50720 -> 10.0.2.20:80
12/09/2021-16:04:02.133428  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50720 -> 10.0.2.20:80
12/09/2021-16:04:04.136604  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50724 -> 10.0.2.20:80
12/09/2021-16:04:04.136604  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50724 -> 10.0.2.20:80
12/09/2021-16:04:32.179455  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50752 -> 10.0.2.20:80
12/09/2021-16:04:32.179455  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50752 -> 10.0.2.20:80
12/09/2021-16:04:24.167253  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50744 -> 10.0.2.20:80
12/09/2021-16:04:24.167253  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50744 -> 10.0.2.20:80
12/09/2021-16:04:10.146111  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50730 -> 10.0.2.20:80
12/09/2021-16:04:10.146111  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50730 -> 10.0.2.20:80
12/09/2021-16:04:48.201734  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50770 -> 10.0.2.20:80
12/09/2021-16:04:48.201734  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50770 -> 10.0.2.20:80
12/09/2021-16:03:28.089542  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50686 -> 10.0.2.20:80
12/09/2021-16:03:28.089542  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50686 -> 10.0.2.20:80
12/09/2021-16:04:14.152024  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50734 -> 10.0.2.20:80
12/09/2021-16:04:14.152024  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50734 -> 10.0.2.20:80
12/09/2021-16:04:52.207243  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50774 -> 10.0.2.20:80
12/09/2021-16:04:52.207243  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50774 -> 10.0.2.20:80
12/09/2021-16:04:28.173421  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50748 -> 10.0.2.20:80
12/09/2021-16:04:28.173421  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50748 -> 10.0.2.20:80
12/09/2021-16:03:32.093465  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50690 -> 10.0.2.20:80
12/09/2021-16:03:32.093465  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50690 -> 10.0.2.20:80
12/09/2021-16:04:36.185080  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50756 -> 10.0.2.20:80
12/09/2021-16:04:36.185080  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50756 -> 10.0.2.20:80
12/09/2021-16:04:18.158169  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50738 -> 10.0.2.20:80
12/09/2021-16:04:18.158169  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50738 -> 10.0.2.20:80
12/09/2021-16:03:34.095579  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50692 -> 10.0.2.20:80
12/09/2021-16:03:34.095579  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50692 -> 10.0.2.20:80
12/09/2021-16:04:55.573283  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:8c7b:4cff:fecc:c693:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/09/2021-16:04:26.170921  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50746 -> 10.0.2.20:80
12/09/2021-16:04:26.170921  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50746 -> 10.0.2.20:80
12/09/2021-16:03:36.098269  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50694 -> 10.0.2.20:80
12/09/2021-16:03:36.098269  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50694 -> 10.0.2.20:80
12/09/2021-16:04:30.176331  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50750 -> 10.0.2.20:80
12/09/2021-16:04:30.176331  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50750 -> 10.0.2.20:80
12/09/2021-16:03:42.104570  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50700 -> 10.0.2.20:80
12/09/2021-16:03:42.104570  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50700 -> 10.0.2.20:80
12/09/2021-16:04:38.187982  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50758 -> 10.0.2.20:80
12/09/2021-16:04:38.187982  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50758 -> 10.0.2.20:80
12/09/2021-16:04:12.149416  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50732 -> 10.0.2.20:80
12/09/2021-16:04:12.149416  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50732 -> 10.0.2.20:80
12/09/2021-16:04:40.190170  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50760 -> 10.0.2.20:80
12/09/2021-16:04:40.190170  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50760 -> 10.0.2.20:80
12/09/2021-16:04:20.161304  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50740 -> 10.0.2.20:80
12/09/2021-16:04:20.161304  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50740 -> 10.0.2.20:80
12/09/2021-16:04:42.193133  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50762 -> 10.0.2.20:80
12/09/2021-16:04:42.193133  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50762 -> 10.0.2.20:80
12/09/2021-16:04:34.182833  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50754 -> 10.0.2.20:80
12/09/2021-16:04:34.182833  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50754 -> 10.0.2.20:80
12/09/2021-16:04:44.195457  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50764 -> 10.0.2.20:80
12/09/2021-16:04:44.195457  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50764 -> 10.0.2.20:80
12/09/2021-16:04:46.199201  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50766 -> 10.0.2.20:80
12/09/2021-16:04:46.199201  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50766 -> 10.0.2.20:80
12/09/2021-16:04:56.213944  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50778 -> 10.0.2.20:80
12/09/2021-16:04:56.213944  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50778 -> 10.0.2.20:80
12/09/2021-16:04:50.204682  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50772 -> 10.0.2.20:80
12/09/2021-16:04:50.204682  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50772 -> 10.0.2.20:80
12/09/2021-16:04:58.217226  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50780 -> 10.0.2.20:80
12/09/2021-16:04:58.217226  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50780 -> 10.0.2.20:80
12/09/2021-16:04:54.210574  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50776 -> 10.0.2.20:80
12/09/2021-16:04:54.210574  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50776 -> 10.0.2.20:80
12/09/2021-16:04:55.573293  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:d0e6:a7ff:feab:edb6:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/09/2021-16:05:00.220070  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50782 -> 10.0.2.20:80
12/09/2021-16:05:00.220070  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50782 -> 10.0.2.20:80
