12/10/2021-14:13:09.297185  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0002:0000:0000:0000:0000:0000:0020:135 -> ff02:0000:0000:0000:0000:0001:ff00:0001:0
12/10/2021-14:25:35.441608  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54614 -> 10.0.2.20:80
12/10/2021-14:25:37.046101  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54622 -> 10.0.2.20:80
12/10/2021-14:26:00.713214  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:54750 -> 10.0.2.20:80
12/10/2021-14:26:00.713214  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54750 -> 10.0.2.20:80
12/10/2021-14:26:07.936092  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54786 -> 10.0.2.20:80
12/10/2021-14:25:59.910460  [**] [1:2221002:1] SURICATA HTTP request field missing colon [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:54744 -> 10.0.2.20:80
12/10/2021-14:25:59.910460  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:54744 -> 10.0.2.20:80
12/10/2021-14:25:59.910460  [**] [1:2102091:12] GPL WEB_SERVER WEBDAV nessus safe scan attempt [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 10.0.0.20:54744 -> 10.0.2.20:80
12/10/2021-14:26:01.917072  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54756 -> 10.0.2.20:80
12/10/2021-14:26:50.887240  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55020 -> 10.0.2.20:80
12/10/2021-14:26:16.360932  [**] [1:10004953:2] ATTACK [PTsecurity] Apache Tomcat RCE on Windows (CVE-2019-0232) [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 10.0.0.20:54830 -> 10.0.2.20:80
12/10/2021-14:26:16.360932  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:54830 -> 10.0.2.20:80
12/10/2021-14:24:04.755974  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:54130 -> 10.0.2.20:80
12/10/2021-14:24:06.360527  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54138 -> 10.0.2.20:80
12/10/2021-14:27:00.124191  [**] [1:2003708:5] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion ref_kd_rubrik.php tt_docroot [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55066 -> 10.0.2.20:80
12/10/2021-14:27:00.124191  [**] [1:2003715:5] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion ref_kd_rubrik.php tt_docroot [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55066 -> 10.0.2.20:80
12/10/2021-14:26:14.355329  [**] [1:2017440:4] ET WEB_SERVER PHP SESSION SuperGlobal in URI [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:54820 -> 10.0.2.20:80
12/10/2021-14:27:00.927759  [**] [1:2003711:5] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion produkte_nach_serie_alle.php tt_docroot [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55070 -> 10.0.2.20:80
12/10/2021-14:27:01.330390  [**] [1:2003715:5] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion ref_kd_rubrik.php tt_docroot [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55072 -> 10.0.2.20:80
12/10/2021-14:27:02.308157  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:8c7b:4cff:fecc:c693:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/10/2021-14:24:09.575911  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54156 -> 10.0.2.20:80
12/10/2021-14:26:26.395704  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54886 -> 10.0.2.20:80
12/10/2021-14:26:26.395704  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54886 -> 10.0.2.20:80
12/10/2021-14:26:24.790076  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54878 -> 10.0.2.20:80
12/10/2021-14:26:30.009459  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54904 -> 10.0.2.20:80
12/10/2021-14:26:30.009459  [**] [1:2019526:5] ET WEB_SERVER WEB-PHP phpinfo access [**] [Classification: Information Leak] [Priority: 2] {TCP} 10.0.0.20:54904 -> 10.0.2.20:80
12/10/2021-14:26:25.592526  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54882 -> 10.0.2.20:80
12/10/2021-14:26:25.592526  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54882 -> 10.0.2.20:80
12/10/2021-14:26:31.214287  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54910 -> 10.0.2.20:80
12/10/2021-14:26:27.197838  [**] [1:2004589:4] ET WEB_SPECIFIC_APPS PsychoStats XSS Attempt -- register.php [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54890 -> 10.0.2.20:80
12/10/2021-14:26:27.197838  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54890 -> 10.0.2.20:80
12/10/2021-14:24:17.205345  [**] [1:2010920:9] ET WEB_SERVER Exploit Suspected PHP Injection Attack (cmd=) [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54196 -> 10.0.2.20:80
12/10/2021-14:26:28.001390  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54894 -> 10.0.2.20:80
12/10/2021-14:26:29.205237  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54900 -> 10.0.2.20:80
12/10/2021-14:26:29.205237  [**] [1:2019526:5] ET WEB_SERVER WEB-PHP phpinfo access [**] [Classification: Information Leak] [Priority: 2] {TCP} 10.0.0.20:54900 -> 10.0.2.20:80
12/10/2021-14:27:11.774791  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55130 -> 10.0.2.20:80
12/10/2021-14:24:22.421226  [**] [1:2003179:10] ET POLICY exe download without User Agent [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:54226 -> 10.0.2.20:80
12/10/2021-14:24:22.421226  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:54226 -> 10.0.2.20:80
12/10/2021-14:24:22.421226  [**] [1:2016141:7] ET INFO Executable Download from dotted-quad Host [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.0.20:54226 -> 10.0.2.20:80
12/10/2021-14:24:22.421226  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:54226 -> 10.0.2.20:80
12/10/2021-14:26:44.863174  [**] [1:2010920:9] ET WEB_SERVER Exploit Suspected PHP Injection Attack (cmd=) [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54982 -> 10.0.2.20:80
12/10/2021-14:26:48.475670  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55002 -> 10.0.2.20:80
12/10/2021-14:26:38.844408  [**] [1:2003705:5] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion site_conf.php ordnertiefe [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54950 -> 10.0.2.20:80
12/10/2021-14:27:35.072264  [**] [1:2001218:11] ET WEB_SPECIFIC_APPS PHPNuke general XSS attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55248 -> 10.0.2.20:80
12/10/2021-14:27:35.072264  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55248 -> 10.0.2.20:80
12/10/2021-14:26:53.299401  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55032 -> 10.0.2.20:80
12/10/2021-14:24:35.663471  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54298 -> 10.0.2.20:80
12/10/2021-14:26:39.245374  [**] [1:2003706:5] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion class.csv.php tt_docroot [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54952 -> 10.0.2.20:80
12/10/2021-14:26:41.652849  [**] [1:2010920:9] ET WEB_SERVER Exploit Suspected PHP Injection Attack (cmd=) [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54964 -> 10.0.2.20:80
12/10/2021-14:27:37.483530  [**] [1:2001218:11] ET WEB_SPECIFIC_APPS PHPNuke general XSS attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55260 -> 10.0.2.20:80
12/10/2021-14:27:37.483530  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55260 -> 10.0.2.20:80
12/10/2021-14:24:40.880420  [**] [1:2010920:9] ET WEB_SERVER Exploit Suspected PHP Injection Attack (cmd=) [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54326 -> 10.0.2.20:80
12/10/2021-14:26:43.258255  [**] [1:2010920:9] ET WEB_SERVER Exploit Suspected PHP Injection Attack (cmd=) [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54972 -> 10.0.2.20:80
12/10/2021-14:27:39.493080  [**] [1:2010920:9] ET WEB_SERVER Exploit Suspected PHP Injection Attack (cmd=) [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55272 -> 10.0.2.20:80
12/10/2021-14:27:39.493080  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:55272 -> 10.0.2.20:80
12/10/2021-14:26:59.722058  [**] [1:2003707:5] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion produkte_nach_serie.php tt_docroot [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55064 -> 10.0.2.20:80
12/10/2021-14:27:02.535839  [**] [1:2003710:5] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion surfer_anmeldung_NWL.php tt_docroot [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55078 -> 10.0.2.20:80
12/10/2021-14:27:43.911511  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:55296 -> 10.0.2.20:80
12/10/2021-14:27:02.938725  [**] [1:2003714:5] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion lay.php tt_docroot [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55080 -> 10.0.2.20:80
12/10/2021-14:27:46.318295  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:55308 -> 10.0.2.20:80
12/10/2021-14:26:47.672681  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54998 -> 10.0.2.20:80
12/10/2021-14:26:48.074247  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55000 -> 10.0.2.20:80
12/10/2021-14:26:50.083611  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55016 -> 10.0.2.20:80
12/10/2021-14:27:53.143574  [**] [1:2001218:11] ET WEB_SPECIFIC_APPS PHPNuke general XSS attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55342 -> 10.0.2.20:80
12/10/2021-14:27:53.143574  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55342 -> 10.0.2.20:80
12/10/2021-14:26:51.691178  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55024 -> 10.0.2.20:80
12/10/2021-14:27:55.955892  [**] [1:2001218:11] ET WEB_SPECIFIC_APPS PHPNuke general XSS attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55356 -> 10.0.2.20:80
12/10/2021-14:27:55.955892  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55356 -> 10.0.2.20:80
12/10/2021-14:27:12.177067  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55132 -> 10.0.2.20:80
12/10/2021-14:28:01.977229  [**] [1:2101877:11] GPL WEB_SERVER printenv access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:55388 -> 10.0.2.20:80
12/10/2021-14:25:00.537951  [**] [1:2221045:1] SURICATA HTTP Unexpected Request body [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:54430 -> 10.0.2.20:80
12/10/2021-14:25:00.537951  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54430 -> 10.0.2.20:80
12/10/2021-14:26:56.108893  [**] [1:2019240:14] ET POLICY Executable and linking format (ELF) file download Over HTTP [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.2.20:80 -> 10.0.0.20:55046
12/10/2021-14:26:56.108893  [**] [1:2032973:1] ET HUNTING Possible ELF executable sent when remote host claims to send a Text File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.2.20:80 -> 10.0.0.20:55046
12/10/2021-14:26:56.324839  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.2.20:80 -> 10.0.0.20:55046
12/10/2021-14:25:03.747218  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:54448 -> 10.0.2.20:80
12/10/2021-14:25:03.747218  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54448 -> 10.0.2.20:80
12/10/2021-14:25:05.351701  [**] [1:2100977:15] GPL EXPLOIT .cnf access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54456 -> 10.0.2.20:80
12/10/2021-14:27:17.396912  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55158 -> 10.0.2.20:80
12/10/2021-14:28:11.615878  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55440 -> 10.0.2.20:80
12/10/2021-14:25:08.160138  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54470 -> 10.0.2.20:80
12/10/2021-14:27:00.526092  [**] [1:2003709:5] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion hg_referenz_jobgalerie.php tt_docroot [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55068 -> 10.0.2.20:80
12/10/2021-14:27:28.636882  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:55214 -> 10.0.2.20:80
12/10/2021-14:27:01.732174  [**] [1:2003713:5] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion referenz.php tt_docroot [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55074 -> 10.0.2.20:80
12/10/2021-14:27:34.267398  [**] [1:2001218:11] ET WEB_SPECIFIC_APPS PHPNuke general XSS attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55244 -> 10.0.2.20:80
12/10/2021-14:27:34.267398  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55244 -> 10.0.2.20:80
12/10/2021-14:28:29.289881  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:55532 -> 10.0.2.20:80
12/10/2021-14:27:35.877500  [**] [1:2001218:11] ET WEB_SPECIFIC_APPS PHPNuke general XSS attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55252 -> 10.0.2.20:80
12/10/2021-14:27:35.877500  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55252 -> 10.0.2.20:80
12/10/2021-14:27:03.340844  [**] [1:2003867:5] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion 3_lay.php tt_docroot [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55082 -> 10.0.2.20:80
12/10/2021-14:25:31.430435  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:54594 -> 10.0.2.20:80
12/10/2021-14:27:36.680652  [**] [1:2001218:11] ET WEB_SPECIFIC_APPS PHPNuke general XSS attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55256 -> 10.0.2.20:80
12/10/2021-14:27:36.680652  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55256 -> 10.0.2.20:80
12/10/2021-14:25:32.232723  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:54598 -> 10.0.2.20:80
12/10/2021-14:28:35.716848  [**] [1:2010920:9] ET WEB_SERVER Exploit Suspected PHP Injection Attack (cmd=) [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55564 -> 10.0.2.20:80
12/10/2021-14:25:33.436005  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:54604 -> 10.0.2.20:80
12/10/2021-14:28:40.537200  [**] [1:2002133:10] ET WEB_SERVER Oracle Reports OS Command Injection Attempt [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:55588 -> 10.0.2.20:80
12/10/2021-14:25:33.837129  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54606 -> 10.0.2.20:80
12/10/2021-14:28:44.553840  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55608 -> 10.0.2.20:80
12/10/2021-14:25:40.256040  [**] [1:2003179:10] ET POLICY exe download without User Agent [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:54642 -> 10.0.2.20:80
12/10/2021-14:25:40.256040  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:54642 -> 10.0.2.20:80
12/10/2021-14:25:40.256040  [**] [1:2016141:7] ET INFO Executable Download from dotted-quad Host [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.0.20:54642 -> 10.0.2.20:80
12/10/2021-14:25:40.256040  [**] [1:2100952:10] GPL WEB_SERVER author.exe access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54642 -> 10.0.2.20:80
12/10/2021-14:25:40.256040  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54642 -> 10.0.2.20:80
12/10/2021-14:27:08.960854  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:55116 -> 10.0.2.20:80
12/10/2021-14:25:49.481147  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:54692 -> 10.0.2.20:80
12/10/2021-14:25:55.097560  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:54720 -> 10.0.2.20:80
12/10/2021-14:25:55.097560  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:54720 -> 10.0.2.20:80
12/10/2021-14:27:51.938896  [**] [1:2001218:11] ET WEB_SPECIFIC_APPS PHPNuke general XSS attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55336 -> 10.0.2.20:80
12/10/2021-14:27:51.938896  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55336 -> 10.0.2.20:80
12/10/2021-14:27:52.340261  [**] [1:2001218:11] ET WEB_SPECIFIC_APPS PHPNuke general XSS attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55338 -> 10.0.2.20:80
12/10/2021-14:27:52.340261  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55338 -> 10.0.2.20:80
12/10/2021-14:26:00.311548  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:54746 -> 10.0.2.20:80
12/10/2021-14:26:01.114678  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54752 -> 10.0.2.20:80
12/10/2021-14:27:57.560875  [**] [1:2001218:11] ET WEB_SPECIFIC_APPS PHPNuke general XSS attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55364 -> 10.0.2.20:80
12/10/2021-14:27:57.560875  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55364 -> 10.0.2.20:80
12/10/2021-14:29:10.255331  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:55746 -> 10.0.2.20:80
12/10/2021-14:27:16.593482  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55154 -> 10.0.2.20:80
12/10/2021-14:29:14.672866  [**] [1:2010920:9] ET WEB_SERVER Exploit Suspected PHP Injection Attack (cmd=) [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:55768 -> 10.0.2.20:80
12/10/2021-14:26:04.324925  [**] [1:2001218:11] ET WEB_SPECIFIC_APPS PHPNuke general XSS attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54768 -> 10.0.2.20:80
12/10/2021-14:26:04.324925  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:54768 -> 10.0.2.20:80
