12/10/2021-13:08:45.561960  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:f8f9:36ff:fe3e:0404:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/10/2021-13:13:03.147380  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37334 -> 10.0.2.20:80
12/10/2021-13:13:03.147380  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37334 -> 10.0.2.20:80
12/10/2021-13:13:13.980310  [**] [1:2101403:12] GPL WEB_SERVER viewcode access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37392 -> 10.0.2.20:80
12/10/2021-13:13:14.783339  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37398 -> 10.0.2.20:80
12/10/2021-13:13:03.949378  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37338 -> 10.0.2.20:80
12/10/2021-13:13:03.949378  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37338 -> 10.0.2.20:80
12/10/2021-13:13:17.189751  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37412 -> 10.0.2.20:80
12/10/2021-13:13:16.387569  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37406 -> 10.0.2.20:80
12/10/2021-13:13:17.992821  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:37416 -> 10.0.2.20:80
12/10/2021-13:13:17.992821  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37416 -> 10.0.2.20:80
12/10/2021-13:13:07.961377  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37360 -> 10.0.2.20:80
12/10/2021-13:13:07.961377  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37360 -> 10.0.2.20:80
12/10/2021-13:13:18.795550  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37420 -> 10.0.2.20:80
12/10/2021-13:13:21.204610  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37432 -> 10.0.2.20:80
12/10/2021-13:13:20.000425  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37426 -> 10.0.2.20:80
12/10/2021-13:13:14.381688  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37396 -> 10.0.2.20:80
12/10/2021-13:13:21.605959  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:37434 -> 10.0.2.20:80
12/10/2021-13:13:21.605959  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37434 -> 10.0.2.20:80
12/10/2021-13:13:20.401904  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37428 -> 10.0.2.20:80
12/10/2021-13:13:15.986509  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37404 -> 10.0.2.20:80
12/10/2021-13:13:15.184450  [**] [1:2003179:10] ET POLICY exe download without User Agent [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:37400 -> 10.0.2.20:80
12/10/2021-13:13:15.184450  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:37400 -> 10.0.2.20:80
12/10/2021-13:13:15.184450  [**] [1:2016141:7] ET INFO Executable Download from dotted-quad Host [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.0.20:37400 -> 10.0.2.20:80
12/10/2021-13:13:15.184450  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37400 -> 10.0.2.20:80
12/10/2021-13:13:17.590767  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37414 -> 10.0.2.20:80
12/10/2021-13:13:15.585453  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37402 -> 10.0.2.20:80
12/10/2021-13:13:32.037478  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37488 -> 10.0.2.20:80
12/10/2021-13:13:19.197235  [**] [1:2003179:10] ET POLICY exe download without User Agent [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:37422 -> 10.0.2.20:80
12/10/2021-13:13:19.197235  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:37422 -> 10.0.2.20:80
12/10/2021-13:13:19.197235  [**] [1:2016141:7] ET INFO Executable Download from dotted-quad Host [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.0.20:37422 -> 10.0.2.20:80
12/10/2021-13:13:19.197235  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37422 -> 10.0.2.20:80
12/10/2021-13:13:16.788699  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37408 -> 10.0.2.20:80
12/10/2021-13:13:40.063503  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37530 -> 10.0.2.20:80
12/10/2021-13:13:23.611918  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37444 -> 10.0.2.20:80
12/10/2021-13:13:22.408768  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37438 -> 10.0.2.20:80
12/10/2021-13:13:46.884226  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37566 -> 10.0.2.20:80
12/10/2021-13:13:22.809814  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:37440 -> 10.0.2.20:80
12/10/2021-13:13:22.809814  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37440 -> 10.0.2.20:80
12/10/2021-13:13:48.087463  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37572 -> 10.0.2.20:80
12/10/2021-13:13:30.834220  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37482 -> 10.0.2.20:80
12/10/2021-13:13:37.656761  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37518 -> 10.0.2.20:80
12/10/2021-13:13:31.235385  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:37484 -> 10.0.2.20:80
12/10/2021-13:13:31.235385  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37484 -> 10.0.2.20:80
12/10/2021-13:13:31.636425  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37486 -> 10.0.2.20:80
12/10/2021-13:13:31.636425  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37486 -> 10.0.2.20:80
12/10/2021-13:13:24.013001  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:37446 -> 10.0.2.20:80
12/10/2021-13:13:34.444624  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:37502 -> 10.0.2.20:80
12/10/2021-13:13:40.865495  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37534 -> 10.0.2.20:80
12/10/2021-13:13:35.247897  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:37506 -> 10.0.2.20:80
12/10/2021-13:13:35.247897  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37506 -> 10.0.2.20:80
12/10/2021-13:13:35.247897  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37506 -> 10.0.2.20:80
12/10/2021-13:13:41.668356  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37538 -> 10.0.2.20:80
12/10/2021-13:13:42.069662  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37540 -> 10.0.2.20:80
12/10/2021-13:13:42.871909  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37544 -> 10.0.2.20:80
12/10/2021-13:13:58.519954  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37628 -> 10.0.2.20:80
12/10/2021-13:13:58.519954  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37628 -> 10.0.2.20:80
12/10/2021-13:13:43.675387  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37548 -> 10.0.2.20:80
12/10/2021-13:13:59.588529  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:64f6:61ff:fe42:2da8:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/10/2021-13:14:00.926702  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:37640 -> 10.0.2.20:80
12/10/2021-13:13:44.477738  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37552 -> 10.0.2.20:80
12/10/2021-13:14:00.926702  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37640 -> 10.0.2.20:80
12/10/2021-13:14:00.926702  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37640 -> 10.0.2.20:80
12/10/2021-13:13:45.681175  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37560 -> 10.0.2.20:80
12/10/2021-13:13:30.433127  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:37480 -> 10.0.2.20:80
12/10/2021-13:13:30.433127  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37480 -> 10.0.2.20:80
12/10/2021-13:14:06.543358  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37670 -> 10.0.2.20:80
12/10/2021-13:13:46.082111  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37562 -> 10.0.2.20:80
12/10/2021-13:13:49.291659  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37578 -> 10.0.2.20:80
12/10/2021-13:14:08.548694  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37680 -> 10.0.2.20:80
12/10/2021-13:14:08.950541  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37682 -> 10.0.2.20:80
12/10/2021-13:14:09.352656  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37684 -> 10.0.2.20:80
12/10/2021-13:14:09.754423  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37688 -> 10.0.2.20:80
12/10/2021-13:13:33.641981  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37498 -> 10.0.2.20:80
12/10/2021-13:13:57.717945  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:37624 -> 10.0.2.20:80
12/10/2021-13:13:57.717945  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37624 -> 10.0.2.20:80
12/10/2021-13:13:57.717945  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37624 -> 10.0.2.20:80
12/10/2021-13:14:11.760819  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37698 -> 10.0.2.20:80
12/10/2021-13:13:58.920945  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37630 -> 10.0.2.20:80
12/10/2021-13:13:58.920945  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37630 -> 10.0.2.20:80
12/10/2021-13:14:01.327713  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:37642 -> 10.0.2.20:80
12/10/2021-13:14:14.169324  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37710 -> 10.0.2.20:80
12/10/2021-13:14:14.971639  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37714 -> 10.0.2.20:80
12/10/2021-13:14:00.124040  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37636 -> 10.0.2.20:80
12/10/2021-13:14:00.124040  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37636 -> 10.0.2.20:80
12/10/2021-13:14:02.530799  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37648 -> 10.0.2.20:80
12/10/2021-13:14:03.333100  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37654 -> 10.0.2.20:80
12/10/2021-13:14:17.378916  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37726 -> 10.0.2.20:80
12/10/2021-13:14:08.147603  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37678 -> 10.0.2.20:80
12/10/2021-13:14:11.359846  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37696 -> 10.0.2.20:80
12/10/2021-13:14:25.804097  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37768 -> 10.0.2.20:80
12/10/2021-13:14:10.155416  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37690 -> 10.0.2.20:80
12/10/2021-13:14:12.965774  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37704 -> 10.0.2.20:80
12/10/2021-13:14:28.612133  [**] [1:10006811:2] ATTACK [PTsecurity] Likely Apache HTTP Server 2.4.49 Directory Traversal (CVE-2021-41773) [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37782 -> 10.0.2.20:80
12/10/2021-13:14:10.557231  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37692 -> 10.0.2.20:80
12/10/2021-13:14:16.175469  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37720 -> 10.0.2.20:80
12/10/2021-13:14:12.161835  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37700 -> 10.0.2.20:80
12/10/2021-13:14:15.372411  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37716 -> 10.0.2.20:80
12/10/2021-13:14:18.181181  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37730 -> 10.0.2.20:80
12/10/2021-13:14:20.589318  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:37742 -> 10.0.2.20:80
12/10/2021-13:13:49.692753  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37580 -> 10.0.2.20:80
12/10/2021-13:14:47.069761  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37882 -> 10.0.2.20:80
12/10/2021-13:13:50.494967  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37586 -> 10.0.2.20:80
12/10/2021-13:14:21.391456  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:37746 -> 10.0.2.20:80
12/10/2021-13:14:53.488433  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37914 -> 10.0.2.20:80
12/10/2021-13:14:30.217535  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:37790 -> 10.0.2.20:80
12/10/2021-13:14:55.895302  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37926 -> 10.0.2.20:80
12/10/2021-13:14:25.402692  [**] [1:2221029:1] SURICATA HTTP URI terminated by non-compliant character [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:37766 -> 10.0.2.20:80
12/10/2021-13:14:25.402692  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:37766 -> 10.0.2.20:80
12/10/2021-13:14:35.031200  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37818 -> 10.0.2.20:80
12/10/2021-13:14:35.833242  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37822 -> 10.0.2.20:80
12/10/2021-13:14:56.297501  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37928 -> 10.0.2.20:80
12/10/2021-13:13:58.118966  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37626 -> 10.0.2.20:80
12/10/2021-13:13:58.118966  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37626 -> 10.0.2.20:80
12/10/2021-13:13:59.322005  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37632 -> 10.0.2.20:80
12/10/2021-13:13:59.322005  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37632 -> 10.0.2.20:80
12/10/2021-13:14:01.728780  [**] [1:2001949:11] ET WEB_SPECIFIC_APPS Athena Web Registration Remote Command Execution Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37644 -> 10.0.2.20:80
12/10/2021-13:14:01.728780  [**] [1:2012913:2] ET POLICY URL Contains pass Parameter [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:37644 -> 10.0.2.20:80
12/10/2021-13:14:01.728780  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37644 -> 10.0.2.20:80
12/10/2021-13:14:33.025232  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37806 -> 10.0.2.20:80
12/10/2021-13:14:33.827641  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37812 -> 10.0.2.20:80
12/10/2021-13:14:52.685323  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:37910 -> 10.0.2.20:80
12/10/2021-13:14:06.944487  [**] [1:2003179:10] ET POLICY exe download without User Agent [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:37672 -> 10.0.2.20:80
12/10/2021-13:14:06.944487  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:37672 -> 10.0.2.20:80
12/10/2021-13:14:06.944487  [**] [1:2016141:7] ET INFO Executable Download from dotted-quad Host [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.0.20:37672 -> 10.0.2.20:80
12/10/2021-13:14:06.944487  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:37672 -> 10.0.2.20:80
